method_id,method_label,representation,model,split,seed,train_size,actual_train_size,n_val,n_test,mae,rmse,r2,source_table,status
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,random,11,2000,2000,1523,3047,0.0926212966442108,0.1423359407843372,0.9020934104919434,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,random,22,2000,2000,1523,3047,0.1142905727028846,1.3556447643142484,-8.265161514282227,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,random,33,2000,2000,1523,3047,0.0929209887981414,0.1409190666277568,0.903141975402832,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,random,44,2000,2000,1523,3047,0.1006821393966674,0.170788489805158,0.8546788096427917,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,random,55,2000,2000,1523,3047,0.0951069965958595,0.1577455709186268,0.8778433799743652,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,random,11,2000,2000,1523,3047,0.1509432564600423,0.2381290573044308,0.7259640821753954,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,random,22,2000,2000,1523,3047,0.1526935812016123,0.2254961262293153,0.7436464501180499,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,random,33,2000,2000,1523,3047,0.1491627987709347,0.2229302672305003,0.7575990807809939,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,random,44,2000,2000,1523,3047,0.1530688753225057,0.2223499634855719,0.7536877942158982,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,random,55,2000,2000,1523,3047,0.1510834959290672,0.2330481642353941,0.7333792274799209,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
